
Root grid = 16 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 4 (5 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=3.410302e+02 cycle=71800 time=6.141099e+00 dt=8.184460e-05
elapsed=3.436064e+02 cycle=71900 time=6.149431e+00 dt=8.664423e-05
elapsed=3.461156e+02 cycle=72000 time=6.158138e+00 dt=8.784504e-05
elapsed=3.486726e+02 cycle=72100 time=6.166462e+00 dt=7.968997e-05
elapsed=3.510517e+02 cycle=72200 time=6.174445e+00 dt=8.097281e-05
elapsed=3.534268e+02 cycle=72300 time=6.182459e+00 dt=7.855933e-05
elapsed=3.556655e+02 cycle=72400 time=6.190010e+00 dt=7.203644e-05
elapsed=3.576970e+02 cycle=72500 time=6.196793e+00 dt=6.313470e-05
elapsed=3.600652e+02 cycle=72600 time=6.204107e+00 dt=8.671767e-05
elapsed=3.627274e+02 cycle=72700 time=6.212321e+00 dt=8.050821e-05
elapsed=3.651708e+02 cycle=72800 time=6.220786e+00 dt=8.639632e-05
elapsed=3.675761e+02 cycle=72900 time=6.229382e+00 dt=8.453526e-05
elapsed=3.703651e+02 cycle=73000 time=6.237764e+00 dt=8.347613e-05
elapsed=3.730182e+02 cycle=73100 time=6.246182e+00 dt=8.480063e-05
elapsed=3.757031e+02 cycle=73200 time=6.254659e+00 dt=8.457897e-05
elapsed=3.782084e+02 cycle=73300 time=6.263058e+00 dt=8.130431e-05
elapsed=3.805027e+02 cycle=73400 time=6.270942e+00 dt=7.673782e-05
elapsed=3.829115e+02 cycle=73500 time=6.278876e+00 dt=8.743613e-05
elapsed=3.855120e+02 cycle=73600 time=6.287624e+00 dt=8.706387e-05
elapsed=3.881718e+02 cycle=73700 time=6.296151e+00 dt=8.409750e-05
elapsed=3.906939e+02 cycle=73800 time=6.304326e+00 dt=7.915913e-05
elapsed=3.932571e+02 cycle=73900 time=6.312213e+00 dt=7.850810e-05
elapsed=3.959549e+02 cycle=74000 time=6.320550e+00 dt=8.804486e-05
elapsed=3.985803e+02 cycle=74100 time=6.329634e+00 dt=9.252420e-05
elapsed=4.014634e+02 cycle=74200 time=6.338617e+00 dt=8.764173e-05
elapsed=4.041519e+02 cycle=74300 time=6.347351e+00 dt=9.008857e-05
elapsed=4.068627e+02 cycle=74400 time=6.356053e+00 dt=8.402576e-05
elapsed=4.099012e+02 cycle=74500 time=6.364248e+00 dt=8.039982e-05
elapsed=4.124532e+02 cycle=74600 time=6.372210e+00 dt=7.865929e-05
elapsed=4.147015e+02 cycle=74700 time=6.379874e+00 dt=7.440337e-05
elapsed=4.171078e+02 cycle=74800 time=6.387111e+00 dt=7.099383e-05
elapsed=4.193168e+02 cycle=74900 time=6.394190e+00 dt=7.034712e-05
elapsed=4.213535e+02 cycle=75000 time=6.401256e+00 dt=7.171106e-05
elapsed=4.234385e+02 cycle=75100 time=6.408464e+00 dt=7.299962e-05
elapsed=4.260619e+02 cycle=75200 time=6.416094e+00 dt=7.770312e-05
elapsed=4.288118e+02 cycle=75300 time=6.424016e+00 dt=8.062024e-05
elapsed=4.310982e+02 cycle=75400 time=6.432144e+00 dt=8.178274e-05
elapsed=4.337118e+02 cycle=75500 time=6.440432e+00 dt=8.166709e-05
elapsed=4.361258e+02 cycle=75600 time=6.448233e+00 dt=7.399198e-05
elapsed=4.387127e+02 cycle=75700 time=6.455502e+00 dt=7.375944e-05
elapsed=4.408990e+02 cycle=75800 time=6.463193e+00 dt=8.054061e-05
elapsed=4.435785e+02 cycle=75900 time=6.471235e+00 dt=8.289604e-05
elapsed=4.460555e+02 cycle=76000 time=6.479721e+00 dt=8.386448e-05
elapsed=4.488362e+02 cycle=76100 time=6.487986e+00 dt=8.328863e-05
elapsed=4.513375e+02 cycle=76200 time=6.496163e+00 dt=8.068498e-05
elapsed=4.541060e+02 cycle=76300 time=6.504193e+00 dt=8.007330e-05
elapsed=4.563903e+02 cycle=76400 time=6.512166e+00 dt=7.953351e-05
elapsed=4.590927e+02 cycle=76500 time=6.520164e+00 dt=8.144288e-05
elapsed=4.616059e+02 cycle=76600 time=6.528604e+00 dt=8.587829e-05
elapsed=4.641788e+02 cycle=76700 time=6.537140e+00 dt=8.435056e-05
elapsed=4.667255e+02 cycle=76800 time=6.545499e+00 dt=8.392498e-05
elapsed=4.694210e+02 cycle=76900 time=6.553888e+00 dt=8.383337e-05
elapsed=4.719313e+02 cycle=77000 time=6.562214e+00 dt=8.353620e-05
elapsed=4.748134e+02 cycle=77100 time=6.570669e+00 dt=8.532761e-05
elapsed=4.775516e+02 cycle=77200 time=6.579286e+00 dt=8.630578e-05
elapsed=4.799931e+02 cycle=77300 time=6.587882e+00 dt=8.601294e-05
elapsed=4.823439e+02 cycle=77400 time=6.596451e+00 dt=8.506494e-05
elapsed=4.850372e+02 cycle=77500 time=6.605137e+00 dt=8.861957e-05
elapsed=4.875177e+02 cycle=77600 time=6.614108e+00 dt=9.022870e-05
elapsed=4.901875e+02 cycle=77700 time=6.623160e+00 dt=9.071766e-05
elapsed=4.927161e+02 cycle=77800 time=6.632191e+00 dt=8.935766e-05
