
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.800483e+03 cycle=76000 time=6.418781e+00 dt=9.150053e-05
elapsed=1.811043e+03 cycle=76100 time=6.427986e+00 dt=9.265823e-05
elapsed=1.821596e+03 cycle=76200 time=6.437224e+00 dt=9.105451e-05
elapsed=1.832136e+03 cycle=76300 time=6.446159e+00 dt=8.794095e-05
elapsed=1.842661e+03 cycle=76400 time=6.454825e+00 dt=8.562698e-05
elapsed=1.853203e+03 cycle=76500 time=6.463408e+00 dt=8.628962e-05
elapsed=1.863742e+03 cycle=76600 time=6.472102e+00 dt=8.919944e-05
elapsed=1.874266e+03 cycle=76700 time=6.480887e+00 dt=8.661611e-05
elapsed=1.884769e+03 cycle=76800 time=6.489463e+00 dt=8.542729e-05
elapsed=1.895305e+03 cycle=76900 time=6.498140e+00 dt=8.917758e-05
elapsed=1.905840e+03 cycle=77000 time=6.507153e+00 dt=8.889069e-05
elapsed=1.916362e+03 cycle=77100 time=6.515786e+00 dt=8.505091e-05
elapsed=1.926893e+03 cycle=77200 time=6.524513e+00 dt=8.823736e-05
elapsed=1.937433e+03 cycle=77300 time=6.533658e+00 dt=9.150177e-05
elapsed=1.947965e+03 cycle=77400 time=6.542623e+00 dt=8.821341e-05
elapsed=1.958496e+03 cycle=77500 time=6.551292e+00 dt=8.490108e-05
elapsed=1.968994e+03 cycle=77600 time=6.559582e+00 dt=8.120114e-05
elapsed=1.979507e+03 cycle=77700 time=6.567595e+00 dt=7.885147e-05
elapsed=1.990027e+03 cycle=77800 time=6.575414e+00 dt=7.725084e-05
elapsed=2.000537e+03 cycle=77900 time=6.582893e+00 dt=7.181025e-05
elapsed=2.011025e+03 cycle=78000 time=6.589903e+00 dt=7.838332e-05
elapsed=2.021547e+03 cycle=78100 time=6.597996e+00 dt=8.428799e-05
elapsed=2.032091e+03 cycle=78200 time=6.606219e+00 dt=7.979239e-05
elapsed=2.042611e+03 cycle=78300 time=6.613978e+00 dt=7.564659e-05
elapsed=2.053138e+03 cycle=78400 time=6.621346e+00 dt=7.181131e-05
elapsed=2.063632e+03 cycle=78500 time=6.628455e+00 dt=7.118586e-05
elapsed=2.074167e+03 cycle=78600 time=6.636123e+00 dt=8.410508e-05
elapsed=2.084699e+03 cycle=78700 time=6.644356e+00 dt=7.958666e-05
elapsed=2.095231e+03 cycle=78800 time=6.652024e+00 dt=7.383410e-05
elapsed=2.105720e+03 cycle=78900 time=6.659477e+00 dt=7.629723e-05
elapsed=2.116242e+03 cycle=79000 time=6.667821e+00 dt=8.773278e-05
elapsed=2.126768e+03 cycle=79100 time=6.676473e+00 dt=8.552767e-05
elapsed=2.137300e+03 cycle=79200 time=6.684867e+00 dt=8.175864e-05
elapsed=2.147819e+03 cycle=79300 time=6.692737e+00 dt=7.596323e-05
elapsed=2.158345e+03 cycle=79400 time=6.700592e+00 dt=8.285213e-05
elapsed=2.168845e+03 cycle=79500 time=6.708966e+00 dt=8.447196e-05
elapsed=2.179369e+03 cycle=79600 time=6.717500e+00 dt=8.658453e-05
elapsed=2.189899e+03 cycle=79700 time=6.726200e+00 dt=8.711012e-05
elapsed=2.200428e+03 cycle=79800 time=6.734763e+00 dt=8.363960e-05
elapsed=2.210966e+03 cycle=79900 time=6.742853e+00 dt=7.795632e-05
elapsed=2.221494e+03 cycle=80000 time=6.750674e+00 dt=7.977905e-05
elapsed=2.231997e+03 cycle=80100 time=6.758738e+00 dt=8.422441e-05
elapsed=2.242532e+03 cycle=80200 time=6.767324e+00 dt=8.593747e-05
elapsed=2.253066e+03 cycle=80300 time=6.776043e+00 dt=8.915194e-05
elapsed=2.263599e+03 cycle=80400 time=6.784793e+00 dt=8.654598e-05
elapsed=2.274133e+03 cycle=80500 time=6.793423e+00 dt=8.656176e-05
elapsed=2.284665e+03 cycle=80600 time=6.802202e+00 dt=8.889608e-05
elapsed=2.295206e+03 cycle=80700 time=6.811104e+00 dt=8.725113e-05
elapsed=2.305715e+03 cycle=80800 time=6.819680e+00 dt=8.500821e-05
elapsed=2.316255e+03 cycle=80900 time=6.828055e+00 dt=8.515542e-05
elapsed=2.326799e+03 cycle=81000 time=6.836731e+00 dt=8.817644e-05
elapsed=2.337342e+03 cycle=81100 time=6.845467e+00 dt=8.476498e-05
elapsed=2.347885e+03 cycle=81200 time=6.853685e+00 dt=7.775271e-05
elapsed=2.358424e+03 cycle=81300 time=6.861212e+00 dt=7.713766e-05
elapsed=2.368937e+03 cycle=81400 time=6.868579e+00 dt=7.590871e-05
elapsed=2.379482e+03 cycle=81500 time=6.876533e+00 dt=8.552846e-05
elapsed=2.390026e+03 cycle=81600 time=6.884957e+00 dt=8.215205e-05
elapsed=2.400569e+03 cycle=81700 time=6.893209e+00 dt=8.422226e-05
elapsed=2.411108e+03 cycle=81800 time=6.901656e+00 dt=8.434346e-05
elapsed=2.421642e+03 cycle=81900 time=6.910087e+00 dt=8.357056e-05
elapsed=2.432145e+03 cycle=82000 time=6.918404e+00 dt=8.289421e-05
elapsed=2.442678e+03 cycle=82100 time=6.926699e+00 dt=8.312998e-05
elapsed=2.453208e+03 cycle=82200 time=6.934960e+00 dt=8.018132e-05
elapsed=2.463743e+03 cycle=82300 time=6.942852e+00 dt=8.029871e-05
elapsed=2.474280e+03 cycle=82400 time=6.951218e+00 dt=8.295562e-05
elapsed=2.484783e+03 cycle=82500 time=6.959429e+00 dt=8.144480e-05
elapsed=2.495314e+03 cycle=82600 time=6.967704e+00 dt=8.400310e-05
elapsed=2.505844e+03 cycle=82700 time=6.976105e+00 dt=8.437970e-05
elapsed=2.516380e+03 cycle=82800 time=6.984607e+00 dt=8.534947e-05
elapsed=2.526920e+03 cycle=82900 time=6.993056e+00 dt=8.350727e-05
elapsed=2.537483e+03 cycle=83000 time=7.001424e+00 dt=8.392864e-05
elapsed=2.548007e+03 cycle=83100 time=7.009872e+00 dt=8.481629e-05
elapsed=2.558571e+03 cycle=83200 time=7.018346e+00 dt=8.443462e-05
elapsed=2.569140e+03 cycle=83300 time=7.026367e+00 dt=7.732644e-05
elapsed=2.579719e+03 cycle=83400 time=7.034717e+00 dt=8.749112e-05
elapsed=2.590305e+03 cycle=83500 time=7.043583e+00 dt=8.944615e-05
elapsed=2.600915e+03 cycle=83600 time=7.052600e+00 dt=9.100351e-05
elapsed=2.611533e+03 cycle=83700 time=7.061705e+00 dt=9.102990e-05
elapsed=2.622156e+03 cycle=83800 time=7.070786e+00 dt=9.056464e-05
elapsed=2.632757e+03 cycle=83900 time=7.079776e+00 dt=8.965318e-05
elapsed=2.643382e+03 cycle=84000 time=7.088730e+00 dt=8.894765e-05
elapsed=2.654013e+03 cycle=84100 time=7.097505e+00 dt=8.712780e-05
elapsed=2.664656e+03 cycle=84200 time=7.106216e+00 dt=8.695328e-05
